28;139;point ;1;-15.1924;0.2710;0.5084;;0.0000
100;143;Plane_Module Mean;28;-0.2148;105.5513;0.4913;;0.0521
;;;;-0.0002;0.0001;1.0000;;
100;144;Plane_Module;;;0.1000;0.0521;0.0521;
;;Flatness;;;;;;     ****--
1;15;point ;1;14.7917;211.3830;0.5808;;0.0000
2;50;point ;1;14.7858;241.0346;0.5783;;0.0000
3;50;point ;1;14.7874;241.5363;0.5789;;0.0000
4;50;point ;1;14.7712;271.1820;0.5390;;0.0000
5;50;point ;1;14.7751;271.6858;0.5440;;0.0000
6;50;point ;1;14.7609;301.3356;0.5081;;0.0000
7;50;point ;1;14.7641;301.8394;0.5108;;0.0000
8;50;point ;1;14.7423;331.4869;0.5067;;0.0000
9;50;point ;1;14.7479;331.9888;0.5135;;0.0000
10;50;point ;1;14.7354;361.6366;0.5911;;0.0000
11;50;point ;1;14.7391;362.1405;0.5847;;0.0000
12;50;point ;1;14.7251;391.7922;0.5817;;0.0000
13;50;point ;1;14.7226;392.2960;0.5649;;0.0000
14;70;point ;1;14.7048;421.9438;0.4194;;0.0000
15;85;point ;1;-15.2994;421.9238;0.3429;;0.0000
16;120;point ;1;-15.2780;392.2817;0.5062;;0.0000
17;120;point ;1;-15.2803;391.7795;0.4851;;0.0000
18;120;point ;1;-15.2686;362.1333;0.4720;;0.0000
19;120;point ;1;-15.2671;361.6310;0.4703;;0.0000
20;120;point ;1;-15.2554;331.9829;0.4685;;0.0000
21;120;point ;1;-15.2539;331.4787;0.4694;;0.0000
22;120;point ;1;-15.2405;301.8284;0.4878;;0.0000
23;120;point ;1;-15.2426;301.3263;0.4882;;0.0000
24;120;point ;1;-15.2405;271.6782;0.4760;;0.0000
25;120;point ;1;-15.2351;271.1759;0.4742;;0.0000
26;120;point ;1;-15.2188;241.5298;0.4878;;0.0000
27;120;point ;1;-15.2228;241.0257;0.4680;;0.0000
28;139;point ;1;-15.2111;211.3757;0.4880;;0.0000
100;143;Plane_Module Mean;28;-0.2486;316.6583;0.5067;;0.1604
;;;;-0.0024;0.0002;1.0000;;
100;144;Plane_Module;;;0.1000;0.1604;0.1604;0.0604
;;Flatness;;;;;;     |--->>
